           1           1           1           1   1.0268646253649938     
           1           1           1           3  0.31644683544560104     
           1           1           3           1  0.31644683544560093     
           1           1           3           3  0.22750515843306121     
           1           1           5           5  0.18314923638550140     
           1           1           7           7  0.18314923638550140     
           1           1           9           9  0.18314923638550140     
           1           2           1           2   1.0268646253649938     
           1           2           1           4  0.31644683544560104     
           1           2           3           2  0.31644683544560093     
           1           2           3           4  0.22750515843306121     
           1           2           5           6  0.18314923638550140     
           1           2           7           8  0.18314923638550140     
           1           2           9          10  0.18314923638550140     
           1           3           1           1  0.31644683544560115     
           1           3           1           3  0.85759242962769755     
           1           3           3           1  0.22750515843306102     
           1           3           3           3  0.25519529604128699     
           1           3           5           5   2.5385755504997193E-002
           1           3           7           7   2.5385755504997193E-002
           1           3           9           9   2.5385755504997193E-002
           1           4           1           2  0.31644683544560115     
           1           4           1           4  0.85759242962769755     
           1           4           3           2  0.22750515843306102     
           1           4           3           4  0.25519529604128699     
           1           4           5           6   2.5385755504997193E-002
           1           4           7           8   2.5385755504997193E-002
           1           4           9          10   2.5385755504997193E-002
           1           5           1           5  0.96126198591768763     
           1           5           3           5  0.23048476788510763     
           1           5           5           1  0.18314923638550140     
           1           5           5           3   2.5385755504997196E-002
           1           6           1           6  0.96126198591768763     
           1           6           3           6  0.23048476788510763     
           1           6           5           2  0.18314923638550140     
           1           6           5           4   2.5385755504997196E-002
           1           7           1           7  0.96126198591768763     
           1           7           3           7  0.23048476788510763     
           1           7           7           1  0.18314923638550140     
           1           7           7           3   2.5385755504997196E-002
           1           8           1           8  0.96126198591768763     
           1           8           3           8  0.23048476788510763     
           1           8           7           2  0.18314923638550140     
           1           8           7           4   2.5385755504997196E-002
           1           9           1           9  0.96126198591768763     
           1           9           3           9  0.23048476788510763     
           1           9           9           1  0.18314923638550140     
           1           9           9           3   2.5385755504997196E-002
           1          10           1          10  0.96126198591768763     
           1          10           3          10  0.23048476788510763     
           1          10           9           2  0.18314923638550140     
           1          10           9           4   2.5385755504997196E-002
           2           1           2           1   1.0268646253649938     
           2           1           2           3  0.31644683544560104     
           2           1           4           1  0.31644683544560093     
           2           1           4           3  0.22750515843306121     
           2           1           6           5  0.18314923638550140     
           2           1           8           7  0.18314923638550140     
           2           1          10           9  0.18314923638550140     
           2           2           2           2   1.0268646253649938     
           2           2           2           4  0.31644683544560104     
           2           2           4           2  0.31644683544560093     
           2           2           4           4  0.22750515843306121     
           2           2           6           6  0.18314923638550140     
           2           2           8           8  0.18314923638550140     
           2           2          10          10  0.18314923638550140     
           2           3           2           1  0.31644683544560115     
           2           3           2           3  0.85759242962769755     
           2           3           4           1  0.22750515843306102     
           2           3           4           3  0.25519529604128699     
           2           3           6           5   2.5385755504997193E-002
           2           3           8           7   2.5385755504997193E-002
           2           3          10           9   2.5385755504997193E-002
           2           4           2           2  0.31644683544560115     
           2           4           2           4  0.85759242962769755     
           2           4           4           2  0.22750515843306102     
           2           4           4           4  0.25519529604128699     
           2           4           6           6   2.5385755504997193E-002
           2           4           8           8   2.5385755504997193E-002
           2           4          10          10   2.5385755504997193E-002
           2           5           2           5  0.96126198591768763     
           2           5           4           5  0.23048476788510763     
           2           5           6           1  0.18314923638550140     
           2           5           6           3   2.5385755504997196E-002
           2           6           2           6  0.96126198591768763     
           2           6           4           6  0.23048476788510763     
           2           6           6           2  0.18314923638550140     
           2           6           6           4   2.5385755504997196E-002
           2           7           2           7  0.96126198591768763     
           2           7           4           7  0.23048476788510763     
           2           7           8           1  0.18314923638550140     
           2           7           8           3   2.5385755504997196E-002
           2           8           2           8  0.96126198591768763     
           2           8           4           8  0.23048476788510763     
           2           8           8           2  0.18314923638550140     
           2           8           8           4   2.5385755504997196E-002
           2           9           2           9  0.96126198591768763     
           2           9           4           9  0.23048476788510763     
           2           9          10           1  0.18314923638550140     
           2           9          10           3   2.5385755504997196E-002
           2          10           2          10  0.96126198591768763     
           2          10           4          10  0.23048476788510763     
           2          10          10           2  0.18314923638550140     
           2          10          10           4   2.5385755504997196E-002
           3           1           1           1  0.31644683544560104     
           3           1           1           3  0.22750515843306124     
           3           1           3           1  0.85759242962769755     
           3           1           3           3  0.25519529604128716     
           3           1           5           5   2.5385755504997196E-002
           3           1           7           7   2.5385755504997196E-002
           3           1           9           9   2.5385755504997196E-002
           3           2           1           2  0.31644683544560104     
           3           2           1           4  0.22750515843306124     
           3           2           3           2  0.85759242962769755     
           3           2           3           4  0.25519529604128716     
           3           2           5           6   2.5385755504997196E-002
           3           2           7           8   2.5385755504997196E-002
           3           2           9          10   2.5385755504997196E-002
           3           3           1           1  0.22750515843306124     
           3           3           1           3  0.25519529604128710     
           3           3           3           1  0.25519529604128688     
           3           3           3           3  0.76549472675247321     
           3           3           5           5   2.8528661607405536E-002
           3           3           7           7   2.8528661607405536E-002
           3           3           9           9   2.8528661607405536E-002
           3           4           1           2  0.22750515843306124     
           3           4           1           4  0.25519529604128710     
           3           4           3           2  0.25519529604128688     
           3           4           3           4  0.76549472675247321     
           3           4           5           6   2.8528661607405536E-002
           3           4           7           8   2.8528661607405536E-002
           3           4           9          10   2.8528661607405536E-002
           3           5           1           5  0.23048476788510763     
           3           5           3           5  0.77495325163802398     
           3           5           5           1   2.5385755504997193E-002
           3           5           5           3   2.8528661607405536E-002
           3           6           1           6  0.23048476788510763     
           3           6           3           6  0.77495325163802398     
           3           6           5           2   2.5385755504997193E-002
           3           6           5           4   2.8528661607405536E-002
           3           7           1           7  0.23048476788510763     
           3           7           3           7  0.77495325163802398     
           3           7           7           1   2.5385755504997193E-002
